Your_Image,Other_Image,LPIPS,SSIM
112590041.png,112590041.png,0,1
112590041.png,112590038.png,0.16825547814369202,0.7640940402467433
112590041.png,112590036.png,0.17781318724155426,0.7663155659396113
112590041.png,112590017.png,0.18931838870048523,0.7596123239754288
112590041.png,112590060.png,0.219081849,0.7203767395230471
112590041.png,112590007.png,0.22379787266254425,0.7193305971344414
112590041.png,109810011.png,0.24655435979366302,0.7076506431844166
112590041.png,112590059.png,0.26154831051826477,0.7623581402846389
112590041.png,112590003.png,0.2653779685497284,0.7439048064417572
112590041.png,112590056.png,0.2875277101993561,0.7464309672836028
112590041.png,112590004.png,0.2949104309082031,0.712663202
112590041.png,112590044.png,0.29889142513275146,0.6838815984229999
112590041.png,112590013.png,0.3014340400695801,0.7482091581516359
112590041.png,112590029.png,0.3022608757019043,0.7343251869245205
112590041.png,112590033.png,0.324873686,0.7347364441581233
112590041.png,112590023.png,0.3376176953315735,0.6993629590262748
112590041.png,110590456.png,0.33762475848197937,0.6671845631092533
112590041.png,112590012.png,0.3405466377735138,0.7312256958968885
112590041.png,112590014.png,0.35118865966796875,0.7019220705856212
112590041.png,111332012.png,0.3584979474544525,0.6573988060473148
112590041.png,112590026.png,0.3608681261539459,0.6258085539720617
112590041.png,112590009.png,0.36508530378341675,0.6691117360483588
112590041.png,112590035.png,0.3669421076774597,0.6102761839769538
112590041.png,112590020.png,0.381490022,0.6484168344292083
112590041.png,112590057.png,0.3903553783893585,0.6135996502087702
112590041.png,112590022.png,0.3911192715167999,0.6350324759179601
112590041.png,112590021.png,0.3950697183609009,0.6167577539075838
112590041.png,110820009.png,0.4123581051826477,0.6105598215565502
112590041.png,113378043.png,0.4137289524078369,0.6429743
112590041.png,110590041.png,0.4165416359901428,0.6671068139716229
112590041.png,112ab0053.png,0.4311080873012543,0.68712245
112590041.png,112590005.png,0.43338847160339355,0.6356866869929093
112590041.png,112590030.png,0.43806523084640503,0.6184500281578188
112590041.png,112590031.png,0.4471849203109741,0.538690573
112590041.png,111820017.jpg,0.4502081871032715,0.6384823590055091
112590041.png,112590052.png,0.4665912687778473,0.5415857857672349
112590041.png,112590051.png,0.4970242381095886,0.5393513126679695
112590041.png,112590053.png,0.5126926898956299,0.5218668561335498
112590041.png,112590024.png,0.5216491222381592,0.5289187044274084
112590041.png,112590018.png,0.5439760684967041,0.46787021531093725
